Datum,Bundesland,Behandlungsgruppe,Anzahl_Meldebereiche,"Aktuelle_COVID_Faelle_ITS",Belegte_Intensivbetten,Freie_Intensivbetten,7_Tage_Notfallreserve,"Freie_IV_Kapazitaeten_Gesamt","Freie_IV_Kapazitaeten_Davon_COVID","Betriebssituation_Regulaerer_Betrieb","Betriebssituation_Teilweise_Eingeschraenkt","Betriebssituation_Eingeschraenkt","Betriebssituation_Keine_Angabe","faelle_covid_erstaufnahmen","Freie_IV_Kapazitaeten_Davon_Isolationspflichtige_Kinder","einschraenkung_beatmungsgeraet",einschraenkung_material,einschraenkung_personal,einschraenkung_raum
"2020-04-05T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,982,2528,11931,8698,0,5816,NA,771,139,41,28,NA,NA,4,4,12,2
"2020-04-05T12:15:00+02:00",DEUTSCHLAND,KINDER,26,3,201,131,0,73,NA,18,2,4,NA,NA,NA,0,0,0,0
"2020-04-06T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,978,2551,11985,8590,0,5813,NA,751,137,44,43,NA,NA,14,13,34,10
"2020-04-06T12:15:00+02:00",DEUTSCHLAND,KINDER,26,3,185,137,0,81,NA,19,2,5,NA,NA,NA,0,0,0,0
"2020-04-07T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,977,2641,11927,8513,0,5877,NA,719,133,55,69,NA,NA,24,20,56,19
"2020-04-07T12:15:00+02:00",DEUTSCHLAND,KINDER,24,3,165,130,0,77,NA,17,2,5,NA,NA,NA,0,0,0,0
"2020-04-08T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,978,2654,12515,8783,0,6007,NA,708,115,65,89,NA,NA,30,29,84,27
"2020-04-08T12:15:00+02:00",DEUTSCHLAND,KINDER,28,7,258,137,0,81,NA,20,6,2,NA,NA,NA,0,0,3,2
"2020-04-09T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,977,2714,13118,8843,0,6038,NA,702,111,66,98,NA,NA,32,32,109,35
"2020-04-09T12:15:00+02:00",DEUTSCHLAND,KINDER,27,4,236,132,0,80,NA,22,3,2,NA,NA,NA,0,0,3,1
"2020-04-10T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,945,2702,12881,8752,0,5978,NA,664,102,74,105,NA,NA,27,30,115,34
"2020-04-10T12:15:00+02:00",DEUTSCHLAND,KINDER,25,2,234,130,0,74,NA,21,3,1,NA,NA,NA,0,0,4,1
"2020-04-11T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,920,2652,12462,8798,0,5988,NA,638,102,70,110,NA,NA,32,32,117,36
"2020-04-11T12:15:00+02:00",DEUTSCHLAND,KINDER,25,5,241,116,0,69,NA,21,3,1,NA,NA,NA,0,0,4,1
"2020-04-12T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,937,2652,12541,8870,0,6074,NA,656,102,73,106,NA,NA,32,32,115,34
"2020-04-12T12:15:00+02:00",DEUTSCHLAND,KINDER,25,5,237,115,0,69,NA,22,2,1,NA,NA,NA,0,0,3,1
"2020-04-13T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,948,2719,12831,8982,0,6126,NA,663,95,77,113,NA,NA,33,33,117,31
"2020-04-13T12:15:00+02:00",DEUTSCHLAND,KINDER,23,3,235,109,0,62,NA,20,2,1,NA,NA,NA,0,0,3,1
"2020-04-14T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,979,2722,13123,9216,0,6302,NA,692,95,77,115,NA,NA,35,29,111,37
"2020-04-14T12:15:00+02:00",DEUTSCHLAND,KINDER,23,3,232,121,0,71,NA,20,2,1,NA,NA,NA,0,0,3,1
"2020-04-15T12:15:00+02:00",DEUTSCHLAND,ERWACHSENE,1040,2735,14119,9709,0,6728,NA,751,92,76,121,NA,NA,40,31,111,31
"2020-04-15T12:15:00+02:00",DEUTSCHLAND,KINDER,25,4,203,138,0,87,NA,20,1,1,3,NA,NA,0,0,2,1
